day,km,up_m,down_m,net_m
1,14,212,268,-56
2,15,66,91,-25
3,15,98,39,59
4,16,371,455,-84
5,12,441,147,293
6,18,476,447,30
7,19,371,461,-89
8,20,325,219,106
9,18,445,442,3
10,14,269,760,-491
11,22,385,309,77
12,18,294,372,-78
13,20,201,250,-49
14,18,290,292,-2
15,11,180,312,-132
16,21,46,18,28
17,15,154,239,-85
18,19,420,116,304
19,21,50,218,-168
20,20,306,435,-129
21,20,669,147,522
22,24,318,882,-565
23,24,287,277,10
24,2,1,5,-5
25,19,144,38,106
26,31,488,190,298
27,23,427,296,131
28,14,398,419,-21
29,18,215,333,-117
30,17,278,374,-97
31,25,556,604,-48
32,24,1079,880,199
33,21,554,712,-158
34,21,590,408,182
35,18,155,476,-321
36,20,714,206,508
37,22,161,391,-230
38,21,192,398,-206
39,22,129,170,-41
40,21,531,288,243
41,22,192,411,-218
42,22,427,520,-93
43,22,309,151,158
44,22,277,204,73
45,22,230,289,-59
46,22,443,739,-296
47,20,216,60,157
48,17,129,55,74
49,18,427,28,399
50,18,165,323,-158
51,18,173,146,27
52,17,81,335,-254
53,18,50,163,-113
54,18,289,142,147
55,16,215,45,170
56,18,412,204,208
57,18,223,282,-59
58,17,286,333,-47
59,18,362,429,-66
60,18,120,415,-295
61,18,67,221,-155
62,18,207,0,207
63,22,558,498,60
64,22,587,232,356
65,20,177,448,-271
66,22,541,426,115
67,17,157,274,-117
68,10,384,121,263
TOTAL,1283,20990,20874,116
